Presenter Name,Institution
C Milligan,"Glasgow Caledonian University Glasgow, United Kingdomhttps://orcid.org/ ---"
C O’Kane,"Technological University Dublin Dublin, Ireland"
C Reid,"Technological University of the Shannon: Midlands Midwest Athlone, Ireland"
C Stöhr                      J Larsson,"Chalmers University of Technology       Chalmers University of Technology Gothenburg, Sweden               Gothenburg, Swedenhttps://orcid.org/---https://orcid.org/---"
C. Blöcker,"Department of Physics, Umeå University Umeå, Sweden"
C. Breazeal,"Massachusetts Institute of Technology Cambridge, MA, USA"
C. Deckert,"Hochschule Düsseldorf, University of Applied Sciences Düsseldorf, Germany"
C. Depaor,"TU Dublin, School of Transport & Civil Engineering Dublin, Ireland"
C. J. Finelli,"University of Michigan Ann Arbor, Michigan, USA"
C. J. M. Smith,"Glasgow Caledonian University Glasgow, Scotlandhttps://orcid.org/---"
C. J. M. Smith,"Glasgow Caledonian University Glasgow, United Kingdomhttps://orcid.org/---"
C. Johnson,"University of Twente Enschede, The Netherlands"
C. L. Poortman,"University of Twente Enschede, the Netherlands ---"
C. Leicht-Scholten,"Research Group Gender and Diversity in Engineering, RWTH Aachen University Aachen, Germany"
C. Mann,"Minnesota State University, Mankato – Iron Range Engineering Virginia, MN, USA"
C. Mund,"Department of Electrical Engineering and Information Technology, University of Applied Science Aachen"
C. Paulus,University of Natural Resources and Life Sciences
C. Van Soom,"KU Leuven, Leuven Engineering and Science Education Center (LESEC), Faculty of Science"
C. Winberg,"Cape Peninsula University of Technology Cape Town, South Africa"
C. Zitzmann,"EPF Engineering School Montpellier, France ---"
C. dePaor,"Technological University Dublin, School of Transport & Civil Engineering: Dublin, Ireland"
C.C. Claij,"Delft University of Technology Delft, The Netherlands"
Calvin Rans,Delft University of Technology
Camilla Björn,"KTH Royal Institute of Technology Stockholm, Sweden"
Case Studies (Qualitative),University
Centre for Engineering Education,University College London UK
Chen,Xianglei. . “STEM Attrition Among High-Performing College Students: Scope and Potential Causes.”http://dx.doi.org/./jotse..
"Clark, R.","WMG, University of Warwick Coventry, UK"
"Cooke, G.","WMG, University of Warwick Coventry, UK"
Count,Provide smaller sub containers for carrying parts to university
Csaba Szabó,Eötvös Loránd University
D Gordon,"School of Computer Science, Technological University Dublin Dublin, Ireland"
D Guile,"Centre for Engineering Education, University College London, London, UK"
D Keogh,"Technological University Dublin Dublin, Ireland"
"D Knight Virginia TechBlacksburg, USA","J Bernhard Linköping UniversityNorrköping, Sweden"
D Lane,"School of Education, University of Limerick Limerick, Ireland"
D McDonnell,"School of Mechanical Engineering, Technological University Dublin Dublin, Ireland"
