Presenter Name,Institution
M. KESKINEN,"Aalto University Espoo, Finland"
M. Kitzig,"Hochschule Ruhr West, University of Applied Sciences Bottrop, Germany"
M. Krüger,"Karlsruhe Institute of Technology Karlsruhe, Germany"
M. Kuosa,"LUT University Lappeeenranta, Finland"
M. Lang,"University of Duisburg-Essen Essen, Germany"
"M. Looby, M. Armstrong,","Technological University Dublin, Faculty of Engineering & Built Environment, Dublin, Ireland"
M. Lämmerhirt,"Research Group Gender and Diversity in Engineering, RWTH Aachen University Aachen, Germany"
M. MacLeod,"University of Twente Enschede, The Netherlands"
M. Magnell,"KTH Royal Institute of Technology Stockholm, Sweden"
M. Makramalla,"NewGiza University Giza, Egypt"
M. Marquez,"University Austral Valdivia, Chile"
M. Mayr,University of Natural Resources and Life Sciences
M. Mielikäinen,"Lapland University of Applied Sciences Rovaniemi, Finland"
M. Morgan,"Ulster University Belfast, United Kingdom"
M. Nurminen*,"Tampere University Pori, Finland"
M. Pieper,"Department of Energy Technology, University of Applied Sciences Aachen Aachen, Germany"
M. Polmear,King’s College London United Kingdom
M. Regis,"Eindhoven University of Technology Eindhoven, the Netherlands"
M. Saari,"Tampere University Pori, Finland"
M. TAKA,"Aalto University Espoo, Finland"
M. Taka,"School of Engineering, Aalto University Espoo, Finland"
"M. TeljegaKristianstad University Kristianstad, Sweden","D. EinarsonKristianstad University Kristianstad, Sweden ---"
"M. TeljegaKristianstad University Kristianstad, Sweden","F. FriskKristianstad University Kristianstad, Sweden"
M. Treiber,"Technical University of Munich Munich, Germany"
M. Vinnakota,"University of Cincinnati Cincinnati, Ohio"
M. Webersen,"Measurement Engineering Group, Paderborn University Paderborn, Germany"
M. van den Bogaard,"The University of Texas at El Paso,"
M. Äijälä,"LUT University Lappeeenranta, Finland ---"
M.C. Ausman,"Virginia Polytechnic Institute and State University Blacksburg, VA, United States"
M.Di Benedetti,"The University of Sheffield, Sheffield, United Kingdom ---"
M.E.D. Van den Bogaard,"University of Texas at El Paso El Paso TX, USA"
M.E.D. van den Bogaard,"University of Texas at El Paso El Paso TX, USA"
Magnus Lilledahl*,"Norwegian university of science and technology Trondheim, Norway"
Management & Leadership support,University leadership is supportive of the curricular change
Marius Neag,"Dept. of Bases of Electronics, Technical University of Cluj-Napoca Cluj-Napoca, Romania"
Martin Hill,"Dept. Of Electrical and Electronic Engineering, Munster Technological University Cork, Ireland"
Martin Lang,"University of Duisburg-Essen Essen, Germany"
Michael Murray,"Dept. Of Electrical and Electronic Engineering, Munster Technological University Cork, Ireland"
"Mike Murphy,TU Dublin","Balázs Vince Nagy, Budapest University of Technology and Economics"
Mike Murray,"Department of Civil & Environmental Engineering, University of Strathclyde, Glasgow, Scotland"
"Mitts, Håkan","Aalto University, School of Engineering Espoo, Finland"
N Chrysanthopoulos,"Bartlett School of Environment, Energy and Resources, University College London"
N Morar,"Department of Engineering, City University of London London, United Kingdom"
N Truter,"Nelson Mandela University Port Elizabeth, South Africa ---"
N Ülker,"Istanbul Technical University - WP-EELISA University Alliance Town, Country"
N. Barakat,"Department of Mechanical Engineering, University of Texas at Tyler"
N. Barakat,"University of Texas at Tyler Texas, USA"
N. Blom,"School of Education, University of Limerick, Limerick, Ireland Limerick, Ireland"
N. Cussen,"Technological University Dublin Dublin, Ireland"
N. Geising,"European Students of Industrial Engineering and Management, Technical University of Kaiserslautern"
N. Winstone,"Surrey Institute of Education, University of Surrey Guildford, UK"
N. van Hattum-Janssen,"Saxion University of Applied Sciences Enschede, the Netherlandshttps://orcid.org/---X"
N.L. Bohm,"Delft University of Technology Delft, The Netherlands ORCID: ---"
N.L. Bohm,Management in the Built Environment Delft University of Technology
NER Lyngdorf,"UCPBL, Aalborg University Aalborg, Denmark"
Neil Cooke,University of Birmingham
Nilson,"Linda B. . ""Improving Student Peer Feedback.""College Teaching (): -.https://doi.org/./."
Ninna Makrinov WMG,University of Warwick
Number,Learning Outcomes of the UNIVERSITY COURSE on Module Level
O'Sullivan,"Technological University Dublin Dublin, Ireland"
O. VARIS,"Aalto University Espoo, Finland"
O. Varis,"School of Engineering, Aalto University Espoo, Finland"
O.M. Clarkin,"School of Mechanical & Manufacturing Engineering, Dublin City University, Dublin, Ireland"
ORCID ---,"E. P. DouglasUniversity of Florida Gainesville, FL, USA"
ORCID ---,"Esther Perea-BorobioImperial College London London, UK"
ORCID ---,"H.-M. JärvinenTampere University Tampere, Finland"
ORCID ---,Hannu-Matti J¨arvinenTampere University Finland
ORCID ---,"J. ViteliTampere University Tampere, Finland"
ORCID ---,"Tampere University Tampere, Finland"
ORCID: ---,"G RichardsUniversity of Bristol Bristol, UK"
ORCID: ---,"M. G. GuerneLeuphana University Lüneburg, Germany"
ORCID: ---,"S. M. LordUniversity of San Diego San Diego, California USA"
ORCID: ---,"SA LancastleUniversity of Bristol Bristol, UK"
Other University seating area preferences,"When asked about their preferences for communal seating throughout the university,"
P Barboux,"Université PSL - WP-EELISA University Alliance Paris, France"
P Bertrand,"École des Ponts ParisTech - WP-EELISA University Alliance Paris, France"
P Bigey,"Université PSL - WP-EELISA University Alliance Paris, France"
P Caratozzolo,"Institute for the Future of Education, Tecnologico de Monterrey Mexico City, Mexico"
P Lazari,"The University of Sheffield Sheffield, U.K."
P Mottl,"Czech Technical University Prague, Czech Republic ---"
P O’Gorman,"Ulster University Belfast, United Kingdom"
P. B. Johnson,"Imperial College London London, UK"
P. Caratozzolo,"Institute for the Future of Education, Tecnologico de Monterrey Mexico City, Mexico"
P. D. Pereira,"University of Twente Enschede, the Netherlands"
P. Hungler,"Chemical Engineering Department and Ingenuity Labs, Queen’s University Kingston, Canada"
P. Immonen,"LUT University Lappeenranta, Finland ---"
P. Maljamäki,"Lapland University of Applied Sciences Rovaniemi, Finland"
P. Munoz-Escalona,"Glasgow Caledonian University Glasgow, United Kingdom,https://orcid.org/---"
P. O’Neill,"Loyola University Maryland Baltimore, MD, USA"
P. Padayachee,University of Cape Town
P. Pale,"University of Zagreb Faculty of Electrical Engineering and Computing Zagreb, Croatia"
P. Pohlenz,"Faculty of Humanities, Otto von Guericke University Magdeburg Magdeburg, Germany"
P. Rantanen,"Tampere University Pori, Finland ORCID"
P. Rattleff,"DTU Learning Lab, Technical University of Denmark Kongens Lyngby, Denmark"
P. den Brok,"Education and Learning Sciences Wageningen University & Research Wageningen, The Netherlands"
"Palmer, I.","WMG, University of Warwick Coventry, UK"
Panu Kiviluoma,"Aalto University, School of Engineering, Department of Mechanical Engineering Espoo, Finland"
PhD candidate,"School of Public Affairs, Zhejiang University HangZhou, China"
PhD scholars,Postdocs and faculty from the PROSYS research centre at DTU
Postdoctoral fellow,"School of Education, Peking University, Beijing , China Beijing, China"
Prof. B Bowe,"Technological University Dublin Dublin, Ireland"
Professor,"School of Public Affairs, Zhejiang University HangZhou, China"
Project Resources,Faculty and teaching personnel training on new content
Published for Faculty:,"Nicholas, A. J.(), ""Preferred Learning Methods of Generation Z"".Faculty and Staff"
Q. Zhu,"Virginia Polytechnic Institute and State University Blacksburg, VA, United States"
QLR,"A singular light laser developed by CERN and Macquarie University, Australia."
R A Berge,"Norwegian University of Science and Technology Trondheim, Norway"
"R BroadbentAston UniversityBirmingham, UK",S Daniel University of
R Cole,"School of Engineering, University of Limerick Limerick, Ireland"
R Holman,"Ulster University Belfast, United Kingdom"
R Martínez,"Universidad Politécnica de Madrid - WP-EELISA University Alliance Madrid, Spain"
R McMurray,"Ulster University Belfast, United Kingdom"
R Riedl,"Institute for Digital Technology Management, Berner Fachhochschule"
R vanOostveen,"University of Ontario Institute of TechnologyOntario, Canada"
R. A. Revelo,"University of Illinois, Chicago Chicago, USA"
R. Bragós,"Telecos-BCN, Technical University of Catalonia (UPC), Barcelona Barcelona, Spain"
R. Cole,"School of Engineering, University of Limerick Limerick, Ireland"
R. Dujardin,"KU Leuven, LESEC, Faculty of Engineering Technology, ETHER Leuven, Belgium"
R. Fenner,"Loyola University Maryland Baltimore, MD, USA"
R. G. Hadgraft,"University of Technology Sydney Sydney, Australia"
R. Gündlach,"Eindhoven University of Technology Eindhoven, the Netherlands"
R. Hairstans,"Edinburgh Napier University Edinburgh, UK"
R. Jani,"Technological University Dublin Dublin, Ireland"
R. Lyng,"Norwegian University of Science and Technology (NTNU) Trondheim, Norway"
R. M. Henry,"Ulster University Belfast, United Kingdom"
R. Mitra,"IDP-Educational Technology, Indian Institute of Technology Bombay Mumbai, India"
R. S. de Graaf,"University of Twente Enschede, the Netherlands ---"
R. Ulseth,"Minnesota State University, Mankato – Iron Range Engineering Virginia, MN, USA"
R.C. Chavela Guerra,"Rowan University Glassboro, New Jersey, USA ORCID: ---"
R.G. Klaassen,TU Centre for Engineering Education Delft University of Technology
R.G.Klaassen,"TU Delft, EEMCS, Delft Institute of Applied Mathematics Delft, The Netherlands"
R.H. Bossen,"Delft University of Technology Delft, the Netherlands"
RESULTS,Distribution of female engineering undergraduates by university type
Raul Onet,"Dept. of Bases of Electronics, Technical University of Cluj-Napoca Cluj-Napoca, Romania"
Robin Clark,"WMG, University of Warwick Coventry, UK."
Romania,Technical University of Cluj- Napoca
S Grex,"Technical University of Denmark (DTU) Copenhagen, Denmark https://orcid.org/---"
S Griveau,"Université PSL - WP-EELISA University Alliance Paris, France"
S Jones,"University of Bristol Bristol, UK"
S Marshall,"University of Strathclyde Glasgow, UK"
S Mehta,George Mason University
S Michel,"Technical University of Munich Munich, Germany"
S Plumb,"The University of Sheffield Sheffield, U.K."
S Schmitz,Research Group Combinatorial Optimization RWTH Aachen University
S Strachan,"University of Strathclyde Glasgow, UK"
S Wilson,"University of Kentucky Lexington KY, USA"
S-RE,Description of where sustainability is in the university's regional contribution.
S-SP,Description of where sustainability is in the university's strategic plan.
S. Acharya,"Indian Institute of Guwahati (IITG) Guwahati, India"
S. Asai,"Ritsumeikan University Shiga, Japan"
S. Basu,"Department of Chemical Engineering, University College London London, UKhttps://iris.ucl.ac.uk/iris/browse/profile?upi=SBASU"
S. Bayle,"EPF Engineering School Montpellier, France"
S. Bengmark*,"Chalmers University of Technology and University of Gothenburg Gothenburg, Sweden"
S. Bernhard,"Research Group Gender and Diversity in Engineering, RWTH Aachen University Aachen, Germany"
S. Chance,"Technological University Dublin Dublin, Ireland"
S. Craps,"KU Leuven, LESEC, Faculty of Engineering Technology, ETHER Leuven, Belgium"
S. El Addouli,"EPF Engineering School Montpellier, France"
S. Erol,"University of Applied Sciences Wiener Neustadt Wiener Neustadt, Austria"
S. Farrell,"Rowan University Glassboro, New Jersey, USA ORCID: ---"
S. Garcia-Huertes,"Telecos-BCN, Technical University of Catalonia (UPC), Barcelona Barcelona, Spain"
S. Grebner,"Technical University of Munich Munich, Germany"
S. Hoel,"Department of Biotechnology and Food Science, NTNU-Norwegian University of Science and Technology"
S. J. Suhonen,"Tampere University of Applied Sciences Tampere, Finland"
S. Jongen,"FSE, Maastricht University Maastricht, the Netherlands"
S. L. Mendez,"University of Colorado Colorado Springs Colorado Springs, CO, USA"
S. M. Gomez-Puente,"Eindhoven University of Technology Eindhoven, The Netherlandshttps://orcid.org/---"
S. M. Lord,"University of San Diego San Diego, California, USA"
S. Ovaska,"Tampere University, Tampere, Finland ORCID ---"
S. O’Connor,"School of Education, University of Limerick, Limerick, Ireland Limerick, Ireland"
S. Sorby,"University of Cincinnati Cincinnati, Ohio"
S. Stober,"Faculty of Computer Science, Otto von Guericke University Magdeburg Magdeburg, Germany"
S. Tesfamicael,Norwegian University of Science and Technology (NTNU)
S. Tuyaerts∗,"KU Leuven, Faculty of Engineering Technology, LESEC, ETHER Sint-Katelijne-Waver, Belgium"
S.A. Sorby,"University of Cincinnati, Cincinnati, USA ORCID: ---"
S.A. Wilson,"University of Kentucky Lexington, Kentucky, USA ---"
S.Chance,"Technological University Dublin Dublin, Ireland"
S.I. Cruz Moreno,"Technological University Dublin Dublin, Ireland"
SEFI summer school,AAEE winter school
Samuel Bengmark,"Chalmers University of Technology and University of Gothenburg Gothenburg, Sweden"
Sarah Jayne Hitt,"New Model Institute for Technology and Engineering (NMITE) Hereford, UK"
Sass,Ditte Strunge. “UDTU” Learninglab.dtu.dk. Technical University of Denmark.
Sass,Ditte Strunge. “UDTU” Learninglab.dtu.dk. Technical University of Denmark. Access date: ..https://learninglab.dtu.dk/courses-and-events/udtu?accordion=
"Schrock, L.","WMG, University of Warwick Coventry, UK"
Sonia M. Gómez-Puente,"Eindhoven University of Technology (TU/e) Eindhoven, The Netherlandshttps://orcid.org/---"
Spain,University of Jaen
Speculative calculation,Engigneering school Internal recruitment Webpage announcement
Strayhorn,Terrell L. .College Students’ Sense of Belonging. Routledge.https://doi.org/./.
Super,D. E. . “Dimensions and measurement of vocational maturity”.Teachers College Record: -.
Sustainable Energy Program,School of Chemical Engineering The University of Queensland
Szabolcs Berezvai,"Budapest University of Technology and Economics, Budapest, Hungary ---X"
T Akkaya,"Department of Applied Mathematics, University of Twente Enschede, The Netherlands"
T Bjørnland,"Department of Mathematical Sciences, Norwegian University of Science and Technology Trondheim, Norway"
T Mojisola,"Air Force Institute of Technology Kaduna, Nigeria"
T. De Laet,"KU Leuven, Faculty of Engineering Science, LESEC Leuven, Belgium"
T. Hetkämper*,"Measurement Engineering Group, Paderborn University Paderborn, Germany"
T. Jutarosaga,"King Mongkut’s University of Technology Thonburi Bangkok, Thailand"
T. Khemane,University of Cape Town
T. Kilamo,"Tampere University, Tampere, Finland ORCID ---"
T. Mejtoft,"Digital Media Lab, Umeå University Umeå, Sweden"
T. Poranen∗,"Tampere University, Tampere, Finland ORCID ---"
T. Tepsa,"Lapland University of Applied Sciences Rovaniemi, Finland"
T. Usuzaka,"Ibaraki University Mito, Japan"
T.J. Murphy,"University of Cincinnati Cincinnati, Ohio"
TD Drysdale,"School of Engineering, University of Edinburgh Edinburgh, UK"
Teaching Support Centre,Swiss Federal Institute of Technology (EPFL)
Teaching method development.,Table : Aalto Co-Educator team activities in the university.
Tom O’Mahony,"Dept. Of Electrical and Electronic Engineering, Munster Technological University Cork, Ireland"
U. Beagon,"TU Dublin, School of Civil & Structural Engineering, CREATE Dublin, Ireland"
U. Beagon,"Technological University Dublin Dublin, Ireland"
U. Beagon,"Technological University Dublin, School of Transport & Civil Engineering: Dublin, Ireland"
"U. Beagon, E. Dunne,","Technological University Dublin, Faculty of Engineering & Built Environment, Dublin, Ireland"
U. Bulmann,"Hamburg University of Technology Hamburg, Germany"
UCL Engineering,University College London
UHasselt,"Faculty of Engineering Technology, Diepenbeek campus, Belgium ---"
"Univ.-Prof. Dr.-Ing. habil. M. Oeser,","Faculty Association for Civil Engineering, Geodesy and Environmental Engineering  Aachen, Germany"
University Leadership,Faculty
Usage of the Engineering Section,Other University Seating Area preferences
V Keiding,"Technical University of Denmark (DTU) Copenhagen, Denmark https://orcid.org/---"
V. C. Schneider,"Hamburg University of Technology Hamburg, Germany"
V. De Brún,"School of Education, University of Limerick, Limerick, Ireland Limerick, Ireland"
V. Engbers,"Eindhoven University of Technology Eindhoven, the Netherlands"
V. Kioupi,"Department of Pedagogy, Curriculum and Assessment, Institute of Education, UCL London, UK"
V. Lamy,"EPF Engineering School Montpellier, France"
V. Macko,"Information Management Institute, Université de Neuchâtel (UniNE)"
V. Vidric,University of Natural Resources and Life Sciences
Viggo Kann,"KTH Royal Institute of Technology Stockholm, Sweden"
Vincent O’Brien,"Dept. of Aerospace and Mech. Eng., South East Technological University, Carlow, Ireland"
WMG,University of Warwick
WMG,University of Warwick Coventry
Wang Shuai,"School of Public Affairs, Zhejiang University, Hangzhou, China"
X. Du,"Aalborg University Aalborg, Denmark"
X. Du,"Aalborg University Aalborg, Denmark ---"
X. Du,"Aalborg University, Aalborg, Denmark"
X. FENG,"Aalto University Espoo, Finland"
Xu Peiyun,"School of Public Affairs, Zhejiang University, Hangzhou, China"
Y. Xu,"University of Nottingham Nottingham, UK"
Yiduo Wang,"WMG, University of Warwick Coventry, UK."
Youmen Chaaban,"Qatar University, Qatar"
Z Bedri,"Technological University Dublin Dublin, Ireland"
Z Green,"University of Birmingham Birmingham, UK"
Z. Liu,"University College London London, UK"
Zhang Wei,"Institute of China's Science, Technology and Education Policy, Zhejiang University,"
Zixuan Mu*andFred Marquis,"Department of Mechanical Engineering, Imperial College London London, UK"
commitment to longer-term engineering education,indicating that many of the schools adopted a sustainable approach to LBEEP.
i.e.,students' decision to pursue a college STEM major.
Ákos Köpeczi-Bócz,"Budapest University of Technology and Economics, Budapest, Hungary ---"
